Name,r,preselect
PUFYEAR,0.11202811028781959,True
SEX,0.1479526480113655,True
RACE_NEW,-0.08520614523382099,True
ETHNICITY_HISPANIC,0.1606607099766427,True
PRNCPTX,0.09344610124725632,False
CPT,0.11593210833210463,False
WORKRVU,0.12016588126705063,False
INOUT,0.027368395401213736,True
TRANST,-0.08315190372574435,False
AGE,-0.0744579753316727,True
ADMYR,0.11214523339240504,False
OPERYR,0.11202811028781959,False
DISCHDEST,-0.08104746202204671,False
ANESTHES,0.003016337274831571,True
SURGSPEC,0.03971178626318751,False
ELECTSURG,0.06795941024497419,False
HEIGHT,0.09664949740083803,True
WEIGHT,0.07393529012634693,True
DIABETES,0.009676659264871424,True
SMOKE,0.012779863401451007,True
DYSPNEA,0.12296412147552299,True
FNSTATUS2,-0.04018446132216702,True
VENTILAT,-0.027187582783461648,True
HXCOPD,-0.03585744273511488,True
ASCITES,-0.018381526863727227,True
HXCHF,-0.09097913049632976,True
HYPERMED,-0.05228569588202281,True
RENAFAIL,-0.030076857409315812,True
DIALYSIS,-0.0890903329067452,True
DISCANCR,-0.007108646998580824,True
WNDINF,-0.04085698822643066,True
STEROID,-0.04974284208150655,True
WTLOSS,-0.012968215097221838,True
BLEEDIS,0.02445982202108115,True
TRANSFUS,-0.07196191156513952,True
DPRNA,0.07843764934449111,False
DPRBUN,0.08170189200515955,False
DPRCREAT,0.06747672291394649,False
DPRALBUM,0.03994298784644599,False
DPRBILI,0.052130101767069115,False
DPRSGOT,0.043344756519829435,False
DPRALKPH,0.04904984060151503,False
DPRWBC,0.06201689327418154,False
DPRHCT,0.07487067481363502,False
DPRPLATE,0.061095713834637834,False
DPRPTT,0.01568256372685683,False
DPRINR,0.053458029393535264,False
PRSODM,0.10051444973609948,True
PRBUN,-0.09932887224158173,True
PRCREAT,-0.08483070114824799,True
PRALBUM,0.015339529661299261,True
PRBILI,0.07359793874530723,True
PRSGOT,0.017289870441482058,True
PRALKPH,-0.04484372481957537,True
PRWBC,-0.02324438973412215,True
PRHCT,0.2686574824060486,True
PRPLATE,-0.015376898954065134,True
PRPTT,0.005195066050103285,True
PRINR,-0.03883893296859763,True
OTHERPROC1,0.12790962969736722,False
OTHERCPT1,0.17616102571736664,False
OTHERWRVU1,0.002876011197941195,False
EMERGNCY,0.014043494787777307,True
WNDCLAS,0.09223145130077591,False
ASACLAS,-0.017507291554655618,True
MORTPROB,-0.15007455094105784,False
MORBPROB,-0.10280037446326049,False
OPTIME,-0.20900511185135437,True
HDISDT,0.11182406156915584,False
TOTHLOS,-0.056399437846237646,True
ADMQTR,0.0003863804457109922,False
HTOODAY,0.004145060772017377,False
NSUPINFEC,0.020156690135416717,False
SUPINFEC,0.021274274290440192,False
SSSIPATOS,0.006548137698987138,False
NWNDINFD,0.004576360534196954,False
WNDINFD,-0.004576360534196855,False
DSSIPATOS,,False
NORGSPCSSI,0.0028729421677718557,False
ORGSPCSSI,0.0028729421677718557,False
OSSIPATOS,,False
NDEHIS,0.0013683037189162312,False
DEHIS,0.0013683037189162312,False
NOUPNEUMO,-0.04911135850210619,False
OUPNEUMO,-0.04946189255202726,False
PNAPATOS,-0.05171724766178852,False
NREINTUB,-0.07483649380260697,False
REINTUB,-0.07690194321875055,False
NPULEMBOL,-0.014442228957682697,False
PULEMBOL,-0.01633704556676806,False
NFAILWEAN,-0.12251767057915912,False
FAILWEAN,-0.12251767057915912,False
VENTPATOS,-0.03743447304029632,False
NRENAINSF,-0.06590634057634538,False
RENAINSF,0.016546452070209168,False
NOPRENAFL,-0.06398096663287302,False
OPRENAFL,0.04341517930742382,False
NURNINFEC,-0.01416676180738465,False
URNINFEC,-0.01416676180738465,False
UTIPATOS,-0.026303701825801284,False
NCNSCVA,-0.042386374096482715,False
CNSCVA,-0.04462699105172147,False
NCDARREST,-0.07039772984860129,False
CDARREST,0.08276020699480194,False
NCDMI,-0.03450369833576587,False
CDMI,0.031998405629861136,False
NOTHBLEED,-0.9999999999999999,False
OTHBLEED,0.9999999999999999,False
DOTHBLEED,-0.8119855992694498,False
NOTHDVT,-0.019613351663967233,False
OTHDVT,0.02022838803586234,False
NOTHSYSEP,-0.005421895764551866,False
OTHSYSEP,-0.005421895764551866,False
SEPSISPATOS,-0.017184440290557452,False
NOTHSESHOCK,-0.04090317257663533,False
OTHSESHOCK,-0.04090317257663533,False
SEPSHOCKPATOS,,False
PODIAG10,-0.008130067957935137,False
PODIAGTX10,-0.06074850733482006,False
RETURNOR,-0.11547221763803683,False
DOPTODIS,-0.1078215380281584,False
STILLINHOSP,-0.04847074153535101,False
REOPERATION1,-0.11547221763803683,False
READMISSION1,-0.062049395919913077,False
WOUND_CLOSURE,0.09188666646416375,False
OTHCDIFF,0.022684567498606343,False
NOTHCDIFF,-0.022684567498606343,False
EOL_WDCARE,-0.046653349813636245,False
BMI,0.02587995601783118,True
